operator_id,missed_calls,total_incoming,avg_waiting,total_outgoing,missed_rate,ineficaz
906294.0,2.0,323.0,28.24074074074074,309.0,0.006191950464396285,True
906296.0,0.0,6.0,32.0,230.0,0.0,True
906392.0,2.0,19.0,31.875,61.0,0.10526315789473684,True
906394.0,0.0,41.0,52.34782608695652,575.0,0.0,True
906396.0,3.0,129.0,111.68571428571428,440.0,0.023255813953488372,True
906398.0,0.0,64.0,56.67857142857143,43.0,0.0,True
906400.0,5.0,144.0,91.55555555555556,462.0,0.034722222222222224,True
906402.0,0.0,7.0,54.0,17.0,0.0,True
906404.0,7.0,599.0,331.42,673.0,0.011686143572621035,True
906406.0,3.0,836.0,433.46153846153845,1213.0,0.0035885167464114833,True
906408.0,4.0,264.0,252.86666666666667,106.0,0.015151515151515152,True
906410.0,6.0,244.0,175.0,21.0,0.02459016393442623,True
906412.0,2.0,26.0,26.666666666666668,328.0,0.07692307692307693,True
906416.0,0.0,6.0,16.333333333333332,82.0,0.0,True
906418.0,0.0,5.0,18.25,4.0,0.0,True
906420.0,0.0,5.0,11.0,33.0,0.0,True
906680.0,2.0,215.0,124.140625,170.0,0.009302325581395349,True
906866.0,0.0,,,655.0,,False
907174.0,0.0,10.0,69.22222222222223,2863.0,0.0,True
907178.0,0.0,5.0,39.333333333333336,209.0,0.0,True
907180.0,0.0,,,87.0,,True
907182.0,0.0,72.0,20.18421052631579,267.0,0.0,True
907224.0,0.0,51.0,49.0,336.0,0.0,True
907440.0,0.0,6.0,23.833333333333332,191.0,0.0,True
907442.0,0.0,,,93.0,,True
907502.0,2.0,263.0,81.03076923076924,0.0,0.0076045627376425855,True
907504.0,0.0,5.0,27.25,25.0,0.0,True
907618.0,0.0,1.0,35.0,0.0,0.0,True
907952.0,2.0,51.0,29.083333333333332,194.0,0.0392156862745098,True
907964.0,0.0,19.0,22.0,62.0,0.0,True
907970.0,0.0,18.0,19.6875,172.0,0.0,True
907972.0,0.0,6.0,15.6,8.0,0.0,True
907974.0,0.0,3.0,9.666666666666666,0.0,0.0,True
907982.0,1.0,76.0,41.64102564102564,89.0,0.013157894736842105,True
907986.0,0.0,1.0,20.0,501.0,0.0,True
907994.0,0.0,42.0,26.551724137931036,122.0,0.0,True
907998.0,0.0,,,2.0,,True
908002.0,0.0,8.0,28.0,16.0,0.0,True
908078.0,0.0,46.0,23.78787878787879,69.0,0.0,True
908080.0,0.0,7.0,17.0,1.0,0.0,True
908082.0,0.0,31.0,15.0,20.0,0.0,True
908098.0,0.0,9.0,60.0,0.0,0.0,True
908130.0,0.0,3.0,28.333333333333332,0.0,0.0,True
908152.0,0.0,15.0,60.0,0.0,0.0,True
908162.0,0.0,3.0,79.5,0.0,0.0,True
908180.0,0.0,1.0,15.0,0.0,0.0,True
908300.0,0.0,5.0,93.66666666666667,0.0,0.0,True
908640.0,0.0,,,16699.0,,False
908718.0,0.0,,,3.0,,True
908834.0,0.0,23.0,195.25,2.0,0.0,True
908958.0,4.0,1010.0,278.11,132.0,0.0039603960396039604,True
908960.0,8.0,756.0,152.6206896551724,116.0,0.010582010582010581,True
908984.0,0.0,,,13.0,,True
909134.0,1.0,215.0,108.9,6.0,0.004651162790697674,True
909308.0,0.0,,,15.0,,True
909392.0,0.0,5.0,26.0,0.0,0.0,True
909452.0,0.0,,,8.0,,True
909502.0,0.0,,,865.0,,False
909624.0,0.0,3.0,50.5,0.0,0.0,True
909768.0,0.0,14.0,42.0,0.0,0.0,True
909892.0,0.0,4.0,14.0,4.0,0.0,True
909894.0,0.0,1.0,13.0,0.0,0.0,True
909896.0,0.0,1.0,9.0,0.0,0.0,True
909910.0,0.0,,,344.0,,True
910018.0,0.0,133.0,56.08771929824562,0.0,0.0,True
